Account No,,,Pin No,BALANCE AMT
1196711',,,292626,-1277188239
1196711',,,585705,-1262288239
1196711',,,727418,-1247388239
1196711',,,202590,-1232488239
1196711',,,249974,-1217588239
1196711',,,689203,-1216188239
1196711',,,625677,-1201188239
1196711',,,488654,-1195188239
1196711',,,970943,-1180188239
1196711',,,966052,-1172188239
1196711',,,275983,-1162188239
1196711',,,750308,-1177188239
1196711',,,809202,-1192188239
1196711',,,922614,-1207188239
1196711',,,160543,-1222188239
1196711',,,223479,-1232188239
1196711',,,561385,-1219568216
1196711',,,760461,-1229568216
1196711',,,724374,-1239568216
1196711',,,831086,-1249568216
1196711',,,112368,-1264568216
1196711',,,317791,-1279568216
1196711',,,676042,-1289568216
1196711',,,278543,-1288568216
1196711',,,353163,-1252568216
1196711',,,764685,-1252068216
1196711',,,780062,-1244068216
1196711',,,150548,-1241718216
1196711',,,849464,-1231718216
1196711',,,552472,-1246718216
1196711',,,532272,-1261718216
1196711',,,455666,-1273718216
1196711',,,808342,-1258818216
1196711',,,149484,-1243918216
1196711',,,889036,-1229018216
1196711',,,376676,-1244018216
1196711',,,649388,-1259018216
1196711',,,211265,-1274018216
1196711',,,655682,-1289018216
1196711',,,811875,-1274018216
1196711',,,665117,-1264018216
1196711',,,539685,-1261376216
1196711',,,288652,-1261377500
1196711',,,153978,-1271377500
1196711',,,370226,-1286377500
1196711',,,120571,-1271477500
1196711',,,623726,-1286477500
1196711',,,511895,-1280477500
1196711',,,746910,-1270477500
1196711',,,476695,-1270479780
1196711',,,126440,-1260731329
1196711',,,435275,-1256771103
1196711',,,727522,-1256772573
1196711',,,529746,-1251810516
1196711',,,327883,-1263810516
1196711',,,546277,-1273810516
1196711',,,583878,-1268810516
1196711',,,787405,-1263810516
1196711',,,416619,-1255810516
1196711',,,888367,-1245810516
1196711',,,500930,-1242310516
1196711',,,460003,-1238310516
1196711',,,717281,-1231310516
1196711',,,979110,-1221310516
1196711',,,321225,-1206410516
1196711',,,644920,-1221410516
1196711',,,779921,-1231410516
1196711',,,543939,-1246410516
1196711',,,181861,-1261410516
1196711',,,384392,-1276410516
1196711',,,323401,-1291410516
1196711',,,842138,-1296410516
1196711',,,304966,-1281510516
1196711',,,209954,-1266610516
1196711',,,887602,-1251710516
1196711',,,161718,-1236810516
1196711',,,462849,-1221910516
1196711',,,131322,-1207010516
1196711',,,925604,-1192110516
1196711',,,372380,-1177210516
1196711',,,955691,-1187210516
1196711',,,740185,-1197210516
1196711',,,183657,-1207210516
1196711',,,167892,-1215210516
1196711',,,440940,-1225210516
1196711',,,181838,-1233210516
1196711',,,898344,-1241210516
1196711',,,267780,-1249210516
1196711',,,408264,-1257210516
1196711',,,480271,-1257213516
1196711',,,910199,-1242313516
1196711',,,221895,-1227413516
1196711',,,354691,-1233413516
1196711',,,122795,-1239413516
1196711',,,863108,-1245413516
1196711',,,176856,-1251413516
1196711',,,461539,-1257413516
1196711',,,392725,-1264413516
1196711',,,774874,-1271413516
1196711',,,699563,-1271084287
1196711',,,859232,-1271084873
1196711',,,406385,-1278084873
1196711',,,497812,-1268084873
1196711',,,986088,-1262084873
1196711',,,994055,-1252084873
1196711',,,939937,-1246084873
1196711',,,366274,-1241049294
1196711',,,951990,-1226149294
1196711',,,921874,-1211249294
1196711',,,391543,-1201249294
1196711',,,109469,-1216249294
1196711',,,366594,-1231249294
1196711',,,564656,-1246249294
1196711',,,592857,-1261249294
1196711',,,848769,-1276249294
1196711',,,878392,-1268249294
1196711',,,526971,-1278249294
1196711',,,247023,-1268249294
1196711',,,832866,-1253349294
1196711',,,163672,-1248849294
1196711',,,239913,-1229849294
1196711',,,839881,-1223849294
1196711',,,968929,-1208949294
1196711',,,163435,-1194049294
1196711',,,885401,-1179149294
1196711',,,248270,-1189149294
1196711',,,450214,-1189161174
1196711',,,164192,-1189179211
1196711',,,909262,-1204179211
1196711',,,454330,-1219179211
1196711',,,649192,-1234179211
1196711',,,850041,-1234180051
1196711',,,503704,-1226180051
1196711',,,126933,-1216180051
1196711',,,893979,-1211034111
1196711',,,232583,-1196134111
1196711',,,675697,-1211134111
1196711',,,582129,-1226134111
1196711',,,970951,-1241134111
1196711',,,232295,-1256134111
1196711',,,806510,-1271134111
1196711',,,758384,-1258134111
1196711',,,443707,-1253134111
1196711',,,986510,-1248134111
1196711',,,347140,-1233234111
1196711',,,215223,-1218334111
1196711',,,356020,-1212334111
1196711',,,717697,-1227334111
1196711',,,715569,-1242334111
1196711',,,856570,-1257334111
1196711',,,897326,-1272334111
1196711',,,722746,-1287334111
1196711',,,200675,-1302334111
1196711',,,244933,-1302334830
1196711',,,499141,-1302359510
1196711',,,412434,-1302359994
1196711',,,241470,-1287459994
1196711',,,742906,-1302459994
1196711',,,727542,-1297213068
1196711',,,668103,-1296413068
1196711',,,953279,-1295943068
1196711',,,750562,-1294773068
1196711',,,470355,-1289773068
1196711',,,924450,-1277441892
1196711',,,337827,-1277444533
1196711',,,356121,-1274044533
1196711',,,734681,-1289044533
1196711',,,837381,-1304044533
1196711',,,509861,-1298787295
1196711',,,111269,-1298788946
1196711',,,228579,-1290788946
1196711',,,372962,-1280788946
1196711',,,841792,-1265788946
1196711',,,502632,-1250788946
1196711',,,580382,-1235888946
1196711',,,844817,-1220988946
1196711',,,422873,-1206088946
1196711',,,111046,-1203458946
1196711',,,325765,-1203460229
1196711',,,865395,-1205460229
1196711',,,783075,-1220460229
1196711',,,949368,-1235460229
1196711',,,931407,-1229460229
1196711',,,285614,-1226960229
1196711',,,404289,-1212060229
1196711',,,317620,-1202060229
1196711',,,349396,-1194060229
1196711',,,666382,-1187060229
1196711',,,969137,-1199060229
1196711',,,727939,-1211060229
1196711',,,464189,-1223060229
1196711',,,125086,-1235060229
1196711',,,489380,-1247060229
1196711',,,304387,-1257060229
1196711',,,265116,-1242160229
1196711',,,867893,-1232160229
1196711',,,750214,-1247160229
1196711',,,475282,-1242160229
1196711',,,323714,-1257160229
1196711',,,519986,-1249160229
1196711',,,134587,-1234260229
1196711',,,849515,-1234278729
1196711',,,803814,-1249278729
1196711',,,170208,-1261278729
1196711',,,356933,-1273278729
1196711',,,817017,-1288278729
1196711',,,732987,-1303278729
1196711',,,628971,-1288378729
1196711',,,629363,-1273478729
1196711',,,264886,-1288478729
1196711',,,849679,-1303478729
1196711',,,206765,-1318478729
1196711',,,979479,-1303578729
1196711',,,715409,-1293578729
1196711',,,780362,-1286578729
1196711',,,899463,-1285678729
1196711',,,874874,-1256678729
1196711',,,967892,-1245678729
1196711',,,372982,-1260678729
1196711',,,120486,-1245778729
1196711',,,798201,-1230878729
1196711',,,246980,-1215978729
1196711',,,247070,-1201078729
1196711',,,974737,-1213078729
1196711',,,570722,-1225078729
1196711',,,793018,-1237078729
1196711',,,588076,-1249078729
1196711',,,376517,-1261078729
1196711',,,879017,-1276078729
1196711',,,338556,-1286078729
1196711',,,546876,-1298078729
1196711',,,776231,-1313078729
1196711',,,899660,-1313079912
1196711',,,788346,-1313082711
1196711',,,763873,-1308082711
1196711',,,336515,-1300082711
1196711',,,264079,-1290082711
1196711',,,352687,-1288882711
1196711',,,653616,-1273982711
1196711',,,243018,-1259082711
1196711',,,647680,-1244182711
1196711',,,524555,-1235182711
1196711',,,885054,-1247182711
1196711',,,296814,-1259182711
1196711',,,154829,-1271182711
1196711',,,151371,-1283182711
1196711',,,279069,-1295182711
1196711',,,403920,-1307182711
1196711',,,477863,-1290533868
1196711',,,991405,-1302533868
1196711',,,617956,-1312533868
1196711',,,866164,-1302533868
1196711',,,805783,-1287633868
1196711',,,233772,-1282633868
1196711',,,268177,-1267633868
1196711',,,153728,-1252633868
1196711',,,328197,-1244633868
1196711',,,506409,-1243133868
1196711',,,839913,-1241133868
1196711',,,366447,-1240733868
1196711',,,468293,-1240773868
1196711',,,641129,-1240973868
1196711',,,878944,-1250973868
1196711',,,787154,-1236073868
1196711',,,967763,-1233461868
1196711',,,811551,-1233463149
1196711',,,197783,-1243463149
1196711',,,293563,-1253463149
1196711',,,535292,-1263463149
1196711',,,348272,-1248463149
1196711',,,382213,-1263463149
1196711',,,213022,-1273463149
1196711',,,473032,-1283463149
1196711',,,719590,-1283471087
1196711',,,297388,-1268571087
1196711',,,490409,-1253671087
1196711',,,800939,-1265671087
1196711',,,792880,-1277671087
1196711',,,661886,-1287671087
1196711',,,895429,-1302671087
1196711',,,292883,-1310671087
1196711',,,550047,-1318671087
1196711',,,243630,-1326671087
1196711',,,795636,-1311771087
1196711',,,859264,-1296871087
1196711',,,465631,-1288871087
1196711',,,921780,-1281529059
1196711',,,720577,-1271529059
1196711',,,709262,-1261529059
1196711',,,708675,-1251529059
1196711',,,345303,-1256529059
1196711',,,760239,-1261529059
1196711',,,122187,-1266529059
1196711',,,967896,-1271529059
1196711',,,386425,-1260529059
1196711',,,506826,-1248529059
1196711',,,420261,-1239529059
1196711',,,805304,-1229529059
1196711',,,434020,-1225529059
1196711',,,714909,-1230529059
1196711',,,165273,-1236529059
1196711',,,999239,-1239529059
1196711',,,338306,-1249529059
1196711',,,420033,-1259529059
1196711',,,237604,-1267529059
1196711',,,292611,-1277529059
1196711',,,331217,-1287529059
1196711',,,628042,-1295529059
1196711',,,930369,-1310529059
1196711',,,906411,-1318529059
1196711',,,579689,-1326529059
1196711',,,303755,-1334529059
1196711',,,674822,-1319529059
1196711',,,518273,-1311529059
1196711',,,990030,-1298529059
1196711',,,847929,-1283629059
1196711',,,415413,-1268729059
1196711',,,702483,-1258729059
1196711',,,225653,-1251016745
1196711',,,316045,-1236888423
1196711',,,881992,-1236891316
1196711',,,427915,-1251891316
1196711',,,887890,-1266891316
1196711',,,761983,-1281891316
1196711',,,346356,-1296891316
1196711',,,563910,-1311891316
1196711',,,195349,-1302891316
1196711',,,998473,-1291891316
1196711',,,464850,-1276991316
1196711',,,774380,-1266991316
1196711',,,624448,-1262991316
1196711',,,466129,-1257991316
1196711',,,314001,-1252991316
1196711',,,292360,-1237991316
1196711',,,962465,-1222991316
1196711',,,249719,-1207991316
1196711',,,558391,-1222991316
1196711',,,889656,-1237991316
1196711',,,802705,-1252991316
1196711',,,266298,-1267991316
1196711',,,867628,-1282991316
1196711',,,387177,-1297991316
1196711',,,929817,-1307991316
1196711',,,923926,-1317991316
1196711',,,625997,-1327991316
1196711',,,244668,-1337991316
1196711',,,810182,-1335363316
1196711',,,194224,-1335364599
1196711',,,536205,-1350364599
1196711',,,452087,-1358364599
1196711',,,565683,-1373364599
1196711',,,272759,-1388364599
1196711',,,955597,-1378364599
1196711',,,566129,-1363464599
1196711',,,606082,-1373464599
1196711',,,462455,-1358564599
1196711',,,333293,-1343664599
1196711',,,510008,-1328764599
1196711',,,787507,-1313864599
1196711',,,623355,-1298964599
1196711',,,499440,-1284064599
1196711',,,110019,-1282464599
1196711',,,603974,-1281164599
1196711',,,655169,-1275230082
1196711',,,387251,-1273330082
1196711',,,475748,-1288330082
1196711',,,499262,-1303330082
1196711',,,523851,-1318330082
1196711',,,497087,-1333330082
1196711',,,788830,-1348330082
1196711',,,115197,-1348330132
1196711',,,192393,-1348330139
1196711',,,815956,-1348330639
1196711',,,247027,-1333330639
1196711',,,829418,-1318330639
1196711',,,880385,-1310330639
1196711',,,470366,-1305330639
1196711',,,406535,-1315330639
1196711',,,636185,-1330330639
1196711',,,727699,-1345330639
1196711',,,979736,-1360330639
1196711',,,238386,-1375330639
1196711',,,801837,-1390330639
1196711',,,712778,-1405330639
1196711',,,178914,-1389330639
1196711',,,809445,-1388530639
1196711',,,817482,-1382530639
1196711',,,659742,-1367630639
1196711',,,180276,-1360630639
1196711',,,622878,-1370630639
1196711',,,216125,-1380630639
1196711',,,930455,-1390630639
1196711',,,850891,-1400630639
1196711',,,717351,-1395630639
1196711',,,654373,-1549630639
1196711',,,202445,-1539630639
1196711',,,703368,-1524630639
1196711',,,367708,-1524738519
1196711',,,469403,-1524740703
1196711',,,577949,-1496740703
1196711',,,476280,-1493540703
1196711',,,634494,-1478640703
1196711',,,640352,-1463740703
1196711',,,603128,-1448840703
1196711',,,287082,-1433940703
1196711',,,247490,-1419040703
1196711',,,471598,-1404140703
1196711',,,821585,-1389240703
1196711',,,394086,-1374340703
1196711',,,716517,-1389340703
1196711',,,266455,-1389584276
1196711',,,745701,-1389637267
1196711',,,462610,-1389727417
1196711',,,862836,-1399727417
1196711',,,845298,-1407727417
1196711',,,297876,-1404116677
1196711',,,611052,-1404118097
1196711',,,388390,-1372464819
1196711',,,175157,-1372470166
1196711',,,361661,-1362470166
1196711',,,110300,-1352470166
1196711',,,198324,-1337570166
1196711',,,713449,-1327570166
1196711',,,373900,-1312670166
1196711',,,843790,-1302670166
1196711',,,540560,-1297670166
1196711',,,107020,-1307670166
1196711',,,365033,-1292770166
1196711',,,167720,-1277870166
1196711',,,114351,-1262970166
1196711',,,528017,-1262070166
1196711',,,250712,-1260970166
1196711',,,163897,-1260280166
1196711',,,279226,-1270280166
1196711',,,506121,-1269280166
1196711',,,249233,-1269320166
1196711',,,740366,-1254320166
1196711',,,215141,-1237595874
1196711',,,408417,-1247595874
1196711',,,397625,-1332595874
1196711',,,665821,-1392595874
1196711',,,700063,-1386595874
1196711',,,803542,-1374595874
1196711',,,697033,-1359695874
1196711',,,591483,-1353195874
1196711',,,850098,-1338295874
1196711',,,970181,-1336295874
1196711',,,926057,-1290295874
1196711',,,119643,-1296295874
1196711',,,145121,-1302295874
1196711',,,392955,-1305295874
1196711',,,229401,-1308295874
1196711',,,109049,-1305659874
1196711',,,479610,-1305661158
1196711',,,296000,-1277217593
1196711',,,456162,-1277222490
1196711',,,686079,-1273271258
1196711',,,432194,-1273272726
1196711',,,376232,-1273273011
1196711',,,753271,-1273273296
1196711',,,598419,-1273273581
1196711',,,524117,-1273273866
1196711',,,176587,-1273275176
1196711',,,256593,-1273341814
1196711',,,272669,-1273542213
1196711',,,144676,-1271942213
1196711',,,741771,-1271602213
1196711',,,583781,-1281602213
1196711',,,148382,-1271602213
1196711',,,635848,-1261602213
1196711',,,907234,-1246602213
1196711',,,300855,-1241814799
1196711',,,566984,-1226914799
1196711',,,482773,-1217914799
1196711',,,740404,-1203014799
1196711',,,246441,-1195014799
1196711',,,341242,-1185014799
1196711',,,102744,-1179514799
1196711',,,947195,-1191514799
1196711',,,312316,-1199514799
1196711',,,562399,-1207514799
1196711',,,502247,-1215514799
1196711',,,319664,-1223514799
1196711',,,185348,-1231514799
1196711',,,698835,-1241514799
1196711',,,403317,-1251514799
1196711',,,804308,-1261514799
1196711',,,756736,-1269514799
1196711',,,621197,-1274514799
1196711',,,331963,-1279514799
1196711',,,576609,-1284514799
1196711',,,413493,-1269614799
1196711',,,916501,-1269613283
1196711',,,134965,-1281613283
1196711',,,620521,-1293613283
1196711',,,444986,-1301613283
1196711',,,330120,-1306613283
1196711',,,735290,-1311613283
1196711',,,495784,-1316613283
1196711',,,956467,-1326613283
1196711',,,142396,-1311613283
1196711',,,397485,-1326613283
1196711',,,995225,-1341613283
1196711',,,136947,-1351613283
1196711',,,683202,-1351619885
1196711',,,500329,-1346949452
1196711',,,208683,-1336949452
1196711',,,366067,-1346949452
1196711',,,261785,-1356949452
1196711',,,800018,-1350949452
1196711',,,977332,-1336049452
1196711',,,305987,-1351049452
1196711',,,465048,-1366049452
1196711',,,582187,-1381049452
1196711',,,286606,-1375049452
1196711',,,309767,-1365049452
1196711',,,384219,-1380049452
1196711',,,262967,-1365049452
1196711',,,590720,-1380049452
1196711',,,672202,-1395049452
1196711',,,490111,-1410049452
1196711',,,128178,-1407049452
1196711',,,124317,-1406049452
1196711',,,277360,-1401049452
1196711',,,354779,-1405343591
1196711',,,113604,-1410343591
1196711',,,135683,-1404343591
1196711',,,316009,-1404354991
1196711',,,148554,-1404382780
1196711',,,546784,-1404394180
1196711',,,590345,-1405203219
1196711',,,851176,-1390203219
1196711',,,877383,-1380203219
1196711',,,343003,-1364843091
1196711',,,108433,-1364846157
1196711',,,564338,-1374846157
1196711',,,827579,-1379846157
1196711',,,556508,-1384846157
1196711',,,100461,-1399846157
1196711',,,939389,-1414846157
1196711',,,521462,-1414116157
1196711',,,765665,-1413266157
1196711',,,518070,-1412126157
1196711',,,437831,-1407279916
1196711',,,359592,-1417279916
1196711',,,694786,-1402279916
1196711',,,683533,-1387279916
1196711',,,637841,-1487279916
1196711',,,960189,-1472279916
1196711',,,762524,-1462279916
1196711',,,742837,-1447279916
1196711',,,472119,-1547279916
1196711',,,483224,-1545779916
1196711',,,872382,-1537779916
1196711',,,662608,-1527779916
1196711',,,829329,-1512779916
1196711',,,982438,-1497879916
1196711',,,183079,-1482979916
1196711',,,655487,-1468079916
1196711',,,441990,-1453179916
1196711',,,960588,-1438279916
1196711',,,629465,-1423379916
1196711',,,550628,-1408479916
1196711',,,675952,-1393579916
1196711',,,283837,-1378679916
1196711',,,934131,-1363779916
1196711',,,750371,-1348879916
1196711',,,325214,-1348885916
1196711',,,884579,-1348897316
1196711',,,526414,-1348947964
1196711',,,968797,-1348952650
1196711',,,328541,-1349003247
1196711',,,137585,-1349004580
1196711',,,993011,-1349006409
1196711',,,246751,-1339006409
1196711',,,808490,-1329006409
1196711',,,442090,-1323006409
1196711',,,384329,-1313006409
1196711',,,268684,-1513006409
1196711',,,294254,-1499006409
1196711',,,546306,-1454006409
1196711',,,121186,-1439106409
1196711',,,484199,-1424206409
1196711',,,358007,-1409306409
1196711',,,197457,-1394406409
1196711',,,795017,-1386406409
1196711',,,713480,-1371506409
1196711',,,165020,-1376506409
1196711',,,426532,-1381506409
1196711',,,918933,-1386506409
1196711',,,188115,-1401506409
1196711',,,368462,-1416506409
1196711',,,890920,-1406506409
1196711',,,387207,-1396506409
1196711',,,980554,-1396606409
1196711',,,865300,-1411606409
1196711',,,792012,-1426606409
1196711',,,109974,-1441606409
1196711',,,445820,-1426706409
1196711',,,355811,-1411806409
1196711',,,352738,-1409202409
1196711',,,680910,-1409203688
1196711',,,431389,-1402447622
1196711',,,734321,-1402449483
1196711',,,624818,-1383506969
1196711',,,262947,-1398506969
1196711',,,207292,-1413506969
1196711',,,561691,-1428506969
1196711',,,542599,-1413606969
1196711',,,322156,-1402606969
1196711',,,777758,-1398356969
1196711',,,954472,-1396356969
1196711',,,370424,-1406356969
1196711',,,653723,-1416356969
1196711',,,606405,-1426356969
1196711',,,626976,-1426371969
1196711',,,544064,-1426386969
1196711',,,403389,-1423986969
1196711',,,502998,-1423990855
1196711',,,265881,-1433990855
1196711',,,682433,-1443990855
1196711',,,881946,-1453990855
1196711',,,792183,-1463990855
1196711',,,478826,-1462990855
1196711',,,973198,-1461790855
1196711',,,978583,-1460340855
1196711',,,305120,-1455057330
1196711',,,954135,-1465057330
1196711',,,993223,-1450157330
1196711',,,433120,-1435257330
1196711',,,287508,-1429057330
1196711',,,126425,-1414157330
1196711',,,951281,-1404157330
1196711',,,954009,-1399057330
1196711',,,987800,-1414057330
1196711',,,990146,-1429057330
1196711',,,750422,-1444057330
1196711',,,446881,-1454057330
1196711',,,764424,-1450151666
1196711',,,356638,-1450153128
1196711',,,468279,-1460153128
1196711',,,952809,-1470153128
1196711',,,876148,-1480153128
1196711',,,493696,-1465153128
1196711',,,100695,-1450153128
1196711',,,559042,-1465153128
1196711',,,809358,-1475153128
1196711',,,257507,-1475154270
1196711',,,129195,-1475747252
1196711',,,933531,-1471191652
1196711',,,147426,-1471193204
1196711',,,377920,-1459193204
1196711',,,713368,-1451193204
1196711',,,186125,-1459193204
1196711',,,788950,-1469193204
1196711',,,451205,-1459193204
1196711',,,988288,-1449193204
1196711',,,629019,-1434293204
1196711',,,708148,-1424293204
1196711',,,851367,-1419405615
1196711',,,116691,-1434405615
1196711',,,910565,-1449405615
1196711',,,472175,-1464405615
1196711',,,657944,-1479405615
1196711',,,842387,-1494405615
1196711',,,815541,-1492505615
1196711',,,362433,-1477605615
1196711',,,697512,-1476405615
1196711',,,541428,-1466405615
1196711',,,236241,-1461405615
1196711',,,537871,-1471405615
1196711',,,935534,-1461405615
1196711',,,532265,-1476405615
1196711',,,949320,-1476905615
1196711',,,114106,-1470423339
1196711',,,139815,-1470425162
1196711',,,345272,-1485425162
1196711',,,219299,-1500425162
1196711',,,602971,-1500445162
1196711',,,324741,-1500599782
1196711',,,842607,-1500600067
1196711',,,208897,-1495600067
1196711',,,689215,-1490854466
1196711',,,850963,-1475954466
1196711',,,700564,-1461054466
1196711',,,309121,-1473054466
1196711',,,250786,-1485054466
1196711',,,170934,-1500054466
1196711',,,937614,-1485154466
1196711',,,111558,-1470254466
1196711',,,986978,-1455254466
1196711',,,967032,-1445254466
1196711',,,187854,-1460254466
1196711',,,716117,-1475254466
1196711',,,200128,-1485254466
1196711',,,916015,-1495254466
1196711',,,641115,-1505254466
1196711',,,276871,-1515254466
1196711',,,290463,-1503254466
1196711',,,226223,-1488354466
1196711',,,682395,-1498354466
1196711',,,227872,-1508354466
1196711',,,566852,-1506354466
1196711',,,456164,-1505354466
1196711',,,750120,-1503854466
1196711',,,979832,-1513854466
1196711',,,939281,-1505854466
1196711',,,821946,-1497854466
1196711',,,820604,-1507854466
1196711',,,147892,-1517854466
1196711',,,954237,-1502954466
1196711',,,197697,-1490954466
1196711',,,286769,-1490154466
1196711',,,947011,-1489204466
1196711',,,781563,-1484174639
1196711',,,207560,-1499174639
1196711',,,136808,-1514174639
1196711',,,640624,-1512224639
1196711',,,840682,-1497324639
1196711',,,101432,-1482424639
1196711',,,719280,-1462722487
1196711',,,249282,-1462726446
1196711',,,212416,-1457726446
1196711',,,634682,-1472726446
1196711',,,211391,-1487726446
1196711',,,319548,-1497726446
1196711',,,469321,-1512726446
1196711',,,405888,-1512126446
1196711',,,997124,-1509826446
1196711',,,413903,-1494826446
1196711',,,514414,-1479826446
1196711',,,433522,-1464826446
1196711',,,923299,-1454826446
1196711',,,246437,-1449826446
1196711',,,870292,-1447526446
1196711',,,441263,-1432626446
1196711',,,608611,-1417726446
1196711',,,823760,-1417744696
1196711',,,235427,-1417747251
1196711',,,939989,-1517747251
1196711',,,829943,-1607747251
1196711',,,889302,-1707747251
1196711',,,598456,-1692847251
1196711',,,556599,-1677947251
1196711',,,154936,-1663047251
1196711',,,424190,-1648147251
1196711',,,795061,-1638147251
1196711',,,836472,-1638162251
1196711',,,618804,-1638177251
1196711',,,611014,-1628177251
1196711',,,716477,-1613177251
1196711',,,202597,-1603177251
1196711',,,879349,-1590237942
1196711',,,867538,-1575337942
1196711',,,604333,-1560437942
1196711',,,748960,-1545537942
1196711',,,140509,-1530637942
1196711',,,556254,-1515737942
1196711',,,625450,-1500837942
1196711',,,897177,-1485937942
1196711',,,644950,-1471037942
1196711',,,421461,-1551037942
1196711',,,789106,-1541037942
1196711',,,727937,-1531037942
1196711',,,891019,-1521037942
1196711',,,801981,-1515037942
1196711',,,197248,-1530037942
1196711',,,350693,-1545037942
1196711',,,559339,-1560037942
1196711',,,804990,-1545037942
1196711',,,378781,-1560037942
1196711',,,311326,-1575037942
1196711',,,614643,-1590037942
1196711',,,765467,-1600037942
1196711',,,106543,-1585037942
1196711',,,461824,-1570137942
1196711',,,979312,-1569637942
1196711',,,334198,-1568837942
1196711',,,474853,-1564837942
1196711',,,451917,-1549937942
1196711',,,268001,-1564937942
1196711',,,419106,-1550037942
1196711',,,386651,-1541037942
1196711',,,393094,-1526137942
1196711',,,806254,-1511237942
1196711',,,705634,-1496337942
1196711',,,945436,-1487337942
1196711',,,659657,-1502337942
1196711',,,165903,-1512337942
1196711',,,347771,-1497337942
1196711',,,226144,-1509337942
1196711',,,420698,-1509437942
1196711',,,689271,-1509452942
1196711',,,156713,-1506052942
1196711',,,897727,-1491152942
1196711',,,268849,-1476252942
1196711',,,610143,-1461352942
1196711',,,323216,-1471352942
1196711',,,224853,-1483352942
1196711',,,258486,-1495352942
1196711',,,326868,-1485352942
1196711',,,794933,-1495352942
1196711',,,528369,-1507352942
1196711',,,548789,-1512352942
1196711',,,975831,-1502352942
1196711',,,433317,-1487352942
1196711',,,127827,-1484352942
1196711',,,263797,-1479420321
1196711',,,179452,-1464520321
1196711',,,759801,-1449620321
1196711',,,692901,-1434720321
1196711',,,914438,-1449720321
1196711',,,417960,-1464720321
1196711',,,418655,-1479720321
1196711',,,935294,-1494720321
1196711',,,490457,-1509720321
1196711',,,985148,-1499720321
1196711',,,917690,-1489720321
1196711',,,197561,-1501720321
1196711',,,542785,-1513720321
1196711',,,251225,-1508720321
1196711',,,902879,-1503720321
1196711',,,123430,-1498720321
1196711',,,160292,-1483120321
1196711',,,790105,-1479720321
1196711',,,482993,-1464820321
1196711',,,565887,-1448520321
1196711',,,682361,-1433620321
1196711',,,966403,-1448620321
1196711',,,982921,-1463620321
1196711',,,768559,-1478620321
1196711',,,282206,-1493620321
1196711',,,702850,-1508620321
1196711',,,449916,-1503620321
1196711',,,189740,-1498620321
1196711',,,363823,-1483720321
1196711',,,606031,-1468820321
1196711',,,550736,-1483820321
1196711',,,770209,-1498820321
1196711',,,682304,-1513820321
1196711',,,438003,-1514098956
1196711',,,754786,-1514100507
1196711',,,404143,-1509554707
1196711',,,614710,-1501115235
1196711',,,135055,-1501117331
1196711',,,434726,-1482611908
1196711',,,405599,-1482615413
1196711',,,743099,-1472615413
1196711',,,929340,-1471915413
1196711',,,296268,-1471115413
1196711',,,342350,-1470015413
1196711',,,138036,-1455115413
1196711',,,885891,-1440215413
1196711',,,673225,-1431915413
1196711',,,733148,-1427287699
1196711',,,749464,-1442287699
1196711',,,875737,-1457287699
1196711',,,173253,-1472287699
1196711',,,152286,-1487287699
1196711',,,352478,-1502287699
1196711',,,561287,-1517287699
1196711',,,941827,-1517287749
1196711',,,396005,-1517287756
1196711',,,989707,-1517288196
1196711',,,778856,-1516738196
1196711',,,735532,-1515568162
1196711',,,567314,-1500568162
1196711',,,677328,-1494768162
1196711',,,501800,-1479768162
1196711',,,595138,-1473768162
1196711',,,732073,-1458768162
1196711',,,812374,-1457268162
1196711',,,204283,-1452968162
1196711',,,295033,-1438068162
1196711',,,715746,-1430568162
1196711',,,775437,-1415668162
1196711',,,137741,-1430668162
1196711',,,708038,-1445668162
1196711',,,918895,-1460668162
1196711',,,614900,-1475668162
1196711',,,660970,-1485668162
1196711',,,167423,-1495668162
1196711',,,434157,-1510668162
1196711',,,544596,-1510692714
1196711',,,957282,-1507792714
1196711',,,742727,-1501792714
1196711',,,720733,-1491792714
1196711',,,175358,-1476892714
1196711',,,328660,-1461992714
1196711',,,530365,-1451992714
1196711',,,445759,-1441992714
1196711',,,617036,-1436185925
1196711',,,559082,-1446185925
1196711',,,470070,-1456185925
1196711',,,252864,-1466185925
1196711',,,880990,-1481185925
1196711',,,397081,-1491185925
1196711',,,581116,-1486992184
1196711',,,346520,-1496992184
1196711',,,774877,-1506992184
1196711',,,693954,-1501992184
1196711',,,442484,-1496992184
1196711',,,661220,-1481992184
1196711',,,125647,-1471992184
1196711',,,864100,-1461992184
1196711',,,840356,-1471992184
1196711',,,524802,-1481992184
1196711',,,166597,-1491992184
1196711',,,366596,-1501992184
1196711',,,411589,-1511992184
1196711',,,938249,-1511992404
1196711',,,536969,-1509992404
1196711',,,807702,-1510021552
1196711',,,918031,-1495121552
1196711',,,961263,-1480221552
1196711',,,580765,-1465321552
1196711',,,550350,-1464321552
1196711',,,342637,-1452321552
1196711',,,167596,-1448321552
1196711',,,893978,-1448597682
1196711',,,184655,-1463597682
1196711',,,357286,-1478597682
1196711',,,881422,-1490597682
1196711',,,298008,-1490599695
1196711',,,194892,-1482599695
1196711',,,722966,-1482611986
1196711',,,523444,-1482614986
1196711',,,783725,-1492614986
1196711',,,753390,-1486288380
1196711',,,518876,-1486290466
1196711',,,715078,-1486339466
1196711',,,836059,-1476339466
